Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Variación anual;2023M12;3,1
Índice general;Variación anual;2023M11;3,2
Índice general;Variación anual;2023M10;3,5
Índice general;Variación anual;2023M09;3,5
Índice general;Variación anual;2023M08;2,6
Índice general;Variación anual;2023M07;2,3
Índice general;Variación anual;2023M06;1,9
Índice general;Variación anual;2023M05;3,2
Índice general;Variación anual;2023M04;4,1
Índice general;Variación anual;2023M03;3,3
Índice general;Variación anual;2023M02;6,0
Índice general;Variación anual;2023M01;5,9
Índice general;Variación anual;2022M12;5,7
Índice general;Variación anual;2022M11;6,8
Índice general;Variación anual;2022M10;7,3
Índice general;Variación anual;2022M09;8,9
Índice general;Variación anual;2022M08;10,5
Índice general;Variación anual;2022M07;10,8
Índice general;Variación anual;2022M06;10,2
Índice general;Variación anual;2022M05;8,7
Índice general;Variación anual;2022M04;8,3
Índice general;Variación anual;2022M03;9,8
Índice general;Variación anual;2022M02;7,6
Índice general;Variación anual;2022M01;6,1
Índice general;Variación anual;2021M12;6,5
Índice general;Variación anual;2021M11;5,5
Índice general;Variación anual;2021M10;5,4
Índice general;Variación anual;2021M09;4,0
Índice general;Variación anual;2021M08;3,3
Índice general;Variación anual;2021M07;2,9
Índice general;Variación anual;2021M06;2,7
Índice general;Variación anual;2021M05;2,7
Índice general;Variación anual;2021M04;2,2
Índice general;Variación anual;2021M03;1,3
Índice general;Variación anual;2021M02;0,0
Índice general;Variación anual;2021M01;0,5
Índice general;Variación anual;2020M12;-0,5
Índice general;Variación anual;2020M11;-0,8
Índice general;Variación anual;2020M10;-0,8
Índice general;Variación anual;2020M09;-0,4
Índice general;Variación anual;2020M08;-0,5
Índice general;Variación anual;2020M07;-0,6
Índice general;Variación anual;2020M06;-0,3
Índice general;Variación anual;2020M05;-0,9
Índice general;Variación anual;2020M04;-0,7
Índice general;Variación anual;2020M03;0,0
Índice general;Variación anual;2020M02;0,7
Índice general;Variación anual;2020M01;1,1
Índice general;Variación anual;2019M12;0,8
Índice general;Variación anual;2019M11;0,4
Índice general;Variación anual;2019M10;0,1
Índice general;Variación anual;2019M09;0,1
Índice general;Variación anual;2019M08;0,3
Índice general;Variación anual;2019M07;0,5
Índice general;Variación anual;2019M06;0,4
Índice general;Variación anual;2019M05;0,8
Índice general;Variación anual;2019M04;1,5
Índice general;Variación anual;2019M03;1,3
Índice general;Variación anual;2019M02;1,1
Índice general;Variación anual;2019M01;1,0
Índice general;Variación anual;2018M12;1,2
Índice general;Variación anual;2018M11;1,7
Índice general;Variación anual;2018M10;2,3
Índice general;Variación anual;2018M09;2,3
Índice general;Variación anual;2018M08;2,2
Índice general;Variación anual;2018M07;2,2
Índice general;Variación anual;2018M06;2,3
Índice general;Variación anual;2018M05;2,1
Índice general;Variación anual;2018M04;1,1
Índice general;Variación anual;2018M03;1,2
Índice general;Variación anual;2018M02;1,1
Índice general;Variación anual;2018M01;0,6
Índice general;Variación anual;2017M12;1,1
Índice general;Variación anual;2017M11;1,7
Índice general;Variación anual;2017M10;1,6
Índice general;Variación anual;2017M09;1,8
Índice general;Variación anual;2017M08;1,6
Índice general;Variación anual;2017M07;1,5
Índice general;Variación anual;2017M06;1,5
Índice general;Variación anual;2017M05;1,9
Índice general;Variación anual;2017M04;2,6
Índice general;Variación anual;2017M03;2,3
Índice general;Variación anual;2017M02;3,0
Índice general;Variación anual;2017M01;3,0
Índice general;Variación anual;2016M12;1,6
Índice general;Variación anual;2016M11;0,7
Índice general;Variación anual;2016M10;0,7
Índice general;Variación anual;2016M09;0,2
Índice general;Variación anual;2016M08;-0,1
Índice general;Variación anual;2016M07;-0,6
Índice general;Variación anual;2016M06;-0,8
Índice general;Variación anual;2016M05;-1,0
Índice general;Variación anual;2016M04;-1,1
Índice general;Variación anual;2016M03;-0,8
Índice general;Variación anual;2016M02;-0,8
Índice general;Variación anual;2016M01;-0,3
Índice general;Variación anual;2015M12;0,0
Índice general;Variación anual;2015M11;-0,3
Índice general;Variación anual;2015M10;-0,7
Índice general;Variación anual;2015M09;-0,9
Índice general;Variación anual;2015M08;-0,4
Índice general;Variación anual;2015M07;0,1
Índice general;Variación anual;2015M06;0,1
Índice general;Variación anual;2015M05;-0,2
Índice general;Variación anual;2015M04;-0,6
Índice general;Variación anual;2015M03;-0,7
Índice general;Variación anual;2015M02;-1,1
Índice general;Variación anual;2015M01;-1,3
Índice general;Variación anual;2014M12;-1,0
Índice general;Variación anual;2014M11;-0,4
Índice general;Variación anual;2014M10;-0,1
Índice general;Variación anual;2014M09;-0,2
Índice general;Variación anual;2014M08;-0,5
Índice general;Variación anual;2014M07;-0,3
Índice general;Variación anual;2014M06;0,1
Índice general;Variación anual;2014M05;0,2
Índice general;Variación anual;2014M04;0,4
Índice general;Variación anual;2014M03;-0,1
Índice general;Variación anual;2014M02;0,0
Índice general;Variación anual;2014M01;0,2
Índice general;Variación anual;2013M12;0,3
Índice general;Variación anual;2013M11;0,2
Índice general;Variación anual;2013M10;-0,1
Índice general;Variación anual;2013M09;0,3
Índice general;Variación anual;2013M08;1,5
Índice general;Variación anual;2013M07;1,8
Índice general;Variación anual;2013M06;2,1
Índice general;Variación anual;2013M05;1,7
Índice general;Variación anual;2013M04;1,4
Índice general;Variación anual;2013M03;2,4
Índice general;Variación anual;2013M02;2,8
Índice general;Variación anual;2013M01;2,7
Índice general;Variación anual;2012M12;2,9
Índice general;Variación anual;2012M11;2,9
Índice general;Variación anual;2012M10;3,5
Índice general;Variación anual;2012M09;3,4
Índice general;Variación anual;2012M08;2,7
Índice general;Variación anual;2012M07;2,2
Índice general;Variación anual;2012M06;1,9
Índice general;Variación anual;2012M05;1,9
Índice general;Variación anual;2012M04;2,1
Índice general;Variación anual;2012M03;1,9
Índice general;Variación anual;2012M02;2,0
Índice general;Variación anual;2012M01;2,0
Índice general;Variación anual;2011M12;2,4
Índice general;Variación anual;2011M11;2,9
Índice general;Variación anual;2011M10;3,0
Índice general;Variación anual;2011M09;3,1
Índice general;Variación anual;2011M08;3,0
Índice general;Variación anual;2011M07;3,1
Índice general;Variación anual;2011M06;3,2
Índice general;Variación anual;2011M05;3,5
Índice general;Variación anual;2011M04;3,8
Índice general;Variación anual;2011M03;3,6
Índice general;Variación anual;2011M02;3,6
Índice general;Variación anual;2011M01;3,3
Índice general;Variación anual;2010M12;3,0
Índice general;Variación anual;2010M11;2,3
Índice general;Variación anual;2010M10;2,3
Índice general;Variación anual;2010M09;2,1
Índice general;Variación anual;2010M08;1,8
Índice general;Variación anual;2010M07;1,9
Índice general;Variación anual;2010M06;1,5
Índice general;Variación anual;2010M05;1,8
Índice general;Variación anual;2010M04;1,5
Índice general;Variación anual;2010M03;1,4
Índice general;Variación anual;2010M02;0,8
Índice general;Variación anual;2010M01;1,0
Índice general;Variación anual;2009M12;0,8
Índice general;Variación anual;2009M11;0,3
Índice general;Variación anual;2009M10;-0,7
Índice general;Variación anual;2009M09;-1,0
Índice general;Variación anual;2009M08;-0,8
Índice general;Variación anual;2009M07;-1,4
Índice general;Variación anual;2009M06;-1,0
Índice general;Variación anual;2009M05;-0,9
Índice general;Variación anual;2009M04;-0,2
Índice general;Variación anual;2009M03;-0,1
Índice general;Variación anual;2009M02;0,7
Índice general;Variación anual;2009M01;0,8
Índice general;Variación anual;2008M12;1,4
Índice general;Variación anual;2008M11;2,4
Índice general;Variación anual;2008M10;3,6
Índice general;Variación anual;2008M09;4,5
Índice general;Variación anual;2008M08;4,9
Índice general;Variación anual;2008M07;5,3
Índice general;Variación anual;2008M06;5,0
Índice general;Variación anual;2008M05;4,6
Índice general;Variación anual;2008M04;4,2
Índice general;Variación anual;2008M03;4,5
Índice general;Variación anual;2008M02;4,4
Índice general;Variación anual;2008M01;4,3
Índice general;Variación anual;2007M12;4,2
Índice general;Variación anual;2007M11;4,1
Índice general;Variación anual;2007M10;3,6
Índice general;Variación anual;2007M09;2,7
Índice general;Variación anual;2007M08;2,2
Índice general;Variación anual;2007M07;2,2
Índice general;Variación anual;2007M06;2,4
Índice general;Variación anual;2007M05;2,3
Índice general;Variación anual;2007M04;2,4
Índice general;Variación anual;2007M03;2,5
Índice general;Variación anual;2007M02;2,4
Índice general;Variación anual;2007M01;2,4
Índice general;Variación anual;2006M12;2,7
Índice general;Variación anual;2006M11;2,6
Índice general;Variación anual;2006M10;2,5
Índice general;Variación anual;2006M09;2,9
Índice general;Variación anual;2006M08;3,7
Índice general;Variación anual;2006M07;4,0
Índice general;Variación anual;2006M06;3,9
Índice general;Variación anual;2006M05;4,0
Índice general;Variación anual;2006M04;3,9
Índice general;Variación anual;2006M03;3,9
Índice general;Variación anual;2006M02;4,0
Índice general;Variación anual;2006M01;4,2
Índice general;Variación anual;2005M12;3,7
Índice general;Variación anual;2005M11;3,4
Índice general;Variación anual;2005M10;3,5
Índice general;Variación anual;2005M09;3,7
Índice general;Variación anual;2005M08;3,3
Índice general;Variación anual;2005M07;3,3
Índice general;Variación anual;2005M06;3,1
Índice general;Variación anual;2005M05;3,1
Índice general;Variación anual;2005M04;3,5
Índice general;Variación anual;2005M03;3,4
Índice general;Variación anual;2005M02;3,3
Índice general;Variación anual;2005M01;3,1
Índice general;Variación anual;2004M12;3,2
Índice general;Variación anual;2004M11;3,5
Índice general;Variación anual;2004M10;3,6
Índice general;Variación anual;2004M09;3,2
Índice general;Variación anual;2004M08;3,3
Índice general;Variación anual;2004M07;3,4
Índice general;Variación anual;2004M06;3,5
Índice general;Variación anual;2004M05;3,4
Índice general;Variación anual;2004M04;2,7
Índice general;Variación anual;2004M03;2,1
Índice general;Variación anual;2004M02;2,1
Índice general;Variación anual;2004M01;2,3
Índice general;Variación anual;2003M12;2,6
Índice general;Variación anual;2003M11;2,8
Índice general;Variación anual;2003M10;2,6
Índice general;Variación anual;2003M09;2,9
Índice general;Variación anual;2003M08;3,0
Índice general;Variación anual;2003M07;2,8
Índice general;Variación anual;2003M06;2,7
Índice general;Variación anual;2003M05;2,7
Índice general;Variación anual;2003M04;3,1
Índice general;Variación anual;2003M03;3,7
Índice general;Variación anual;2003M02;3,8
Índice general;Variación anual;2003M01;3,7
Índice general;Variación anual;2002M12;4,0
